"","gene"
"368","ENSDARG00000006812,wdr26b,20,protein_coding"
"369","ENSDARG00000023062,cyr61,23,protein_coding"
"370","ENSDARG00000010710,msi1,8,protein_coding"
"371","ENSDARG00000056532,serinc2,19,protein_coding"
"372","ENSDARG00000026862,aktip,7,protein_coding"
"373","ENSDARG00000016074,cryz,2,protein_coding"
"374","ENSDARG00000043130,notch2,8,protein_coding"
"375","ENSDARG00000023303,zgc:66427,2,protein_coding"
"376","ENSDARG00000016483,baiap2l2a,3,protein_coding"
"377","ENSDARG00000030716,ing4,19,protein_coding"
"378","ENSDARG00000028957,maff,12,protein_coding"
"379","ENSDARG00000017244,chd6,6,protein_coding"
"380","ENSDARG00000024278,adh8b,13,protein_coding"
"381","ENSDARG00000026655,tspo,6,protein_coding"
"382","ENSDARG00000013968,psap,13,protein_coding"
"383","ENSDARG00000023678,ercc5,1,protein_coding"
"384","ENSDARG00000014803,cryba1l2,1,protein_coding"
"385","ENSDARG00000004588,sox4a,19,protein_coding"
"386","ENSDARG00000015780,ankrd46b,7,protein_coding"
"387","ENSDARG00000031494,prrc2a,19,protein_coding"
"388","ENSDARG00000053113,ly75,11,protein_coding"
"389","ENSDARG00000010948,kif11,17,protein_coding"
"390","ENSDARG00000078289,CABZ01046425.1,22,protein_coding"
"391","ENSDARG00000027199,smad1,1,protein_coding"
"392","ENSDARG00000057053,SGMS1,,"
"393","ENSDARG00000026028,ankrd44,9,protein_coding"
"394","ENSDARG00000014790,g3bp2,1,protein_coding"
"395","ENSDARG00000029510,timm17a,11,protein_coding"
"396","ENSDARG00000020711,rrm2,20,protein_coding"
"397","ENSDARG00000022768,gid8a,8,protein_coding"
"398","ENSDARG00000000767,spi1b,7,protein_coding"
"399","ENSDARG00000032885,C11H1orf158,11,protein_coding"
"400","ENSDARG00000025089,loxl4,13,protein_coding"
"401","ENSDARG00000011545,arrb2b,7,protein_coding"
"402","ENSDARG00000011703,clocka,20,protein_coding"
"403","ENSDARG00000044915,sfmbt1,11,protein_coding"
"404","ENSDARG00000025254,s100a10b,16,protein_coding"
"405","ENSDARG00000025350,prdx2,1,protein_coding"
"406","ENSDARG00000053381,PLPP1,,"
"407","ENSDARG00000029600,wdr32,13,protein_coding"
"408","ENSDARG00000039082,zgc:123010,13,protein_coding"
"409","ENSDARG00000043081,ctsz,6,protein_coding"
"410","ENSDARG00000055792,FOXO4,14,protein_coding"
"411","ENSDARG00000041108,ctsh,18,protein_coding"
"412","ENSDARG00000059079,vps25,12,protein_coding"
"413","ENSDARG00000054172,pgrmc1,21,protein_coding"
"414","ENSDARG00000045706,tspan9b,4,protein_coding"
"415","ENSDARG00000070261,crlf3,3,protein_coding"
"416","ENSDARG00000030782,exoc3l2b,15,protein_coding"
"417","ENSDARG00000045980,cst14b.1,5,protein_coding"
"418","ENSDARG00000036541,rhbdf1a,3,protein_coding"
"419","ENSDARG00000040432,klf2b,19,protein_coding"
"420","ENSDARG00000039215,arrb2a,10,protein_coding"
"421","ENSDARG00000043342,gpx3,14,protein_coding"
"422","ENSDARG00000000324,dcaf8,2,protein_coding"
"423","ENSDARG00000037895,ramp2,3,protein_coding"
"424","ENSDARG00000035770,ube2c,6,protein_coding"
"425","ENSDARG00000059125,prkacbb,2,protein_coding"
"426","ENSDARG00000056378,ifi30,2,protein_coding"
"427","ENSDARG00000055101,hmox2a,22,protein_coding"
"428","ENSDARG00000097250,si:ch211-137j23.9,15,protein_coding"
"429","ENSDARG00000059367,mfap2,22,protein_coding"
"430","ENSDARG00000037537,fam58a,23,protein_coding"
"431","ENSDARG00000020924,MYO1C,,"
"432","ENSDARG00000055585,c1galt1a,23,protein_coding"
"433","ENSDARG00000056331,ahcyl1,8,protein_coding"
"434","ENSDARG00000054755,alox5ap,10,protein_coding"
"435","ENSDARG00000076747,TMCC1,,"
"436","ENSDARG00000055291,rab18a,12,protein_coding"
"437","ENSDARG00000052122,rag1,25,protein_coding"
"438","ENSDARG00000051986,ndufs8a,1,protein_coding"
"439","ENSDARG00000055078,chac2,12,protein_coding"
"440","ENSDARG00000019236,gsr,14,protein_coding"
"441","ENSDARG00000055054,bcl9l,18,protein_coding"
"442","ENSDARG00000038154,isca2,17,protein_coding"
"443","ENSDARG00000042630,hebp2,20,protein_coding"
"444","ENSDARG00000070045,celf4,21,protein_coding"
"445","ENSDARG00000036628,cd74b,21,protein_coding"
"446","ENSDARG00000056499,ca6,23,protein_coding"
"447","ENSDARG00000042816,mmp9,8,protein_coding"
"448","ENSDARG00000045036,cdc42ep4b,12,protein_coding"
"449","ENSDARG00000059294,marco,9,protein_coding"
"450","ENSDARG00000036080,cd81a,7,protein_coding"
"451","ENSDARG00000061120,slc43a2b,10,protein_coding"
"452","ENSDARG00000058728,nudt2,21,protein_coding"
"453","ENSDARG00000059406,raf1b,11,protein_coding"
"454","ENSDARG00000037514,hdac3,14,protein_coding"
"455","ENSDARG00000036966,hsd3b7,3,protein_coding"
"456","ENSDARG00000059327,gata2a,11,protein_coding"
"457","ENSDARG00000057698,ctsd,18,protein_coding"
"458","ENSDARG00000036427,slc3a2a,7,protein_coding"
"459","ENSDARG00000006497,rtn1a,13,protein_coding"
"460","ENSDARG00000042410,rab40b,12,protein_coding"
"461","ENSDARG00000055045,casp3b,14,protein_coding"
"462","ENSDARG00000057789,lyz,24,protein_coding"
"463","ENSDARG00000006010,bmi1a,24,protein_coding"
"464","ENSDARG00000009266,uevld,25,protein_coding"
"465","ENSDARG00000023472,ctnnb2,19,protein_coding"
"466","ENSDARG00000045144,HBZ,12,protein_coding"
"467","ENSDARG00000053990,hmgb2b,23,protein_coding"
"468","ENSDARG00000069734,zgc:92880,3,protein_coding"
"469","ENSDARG00000037153,atp6ap1b,23,protein_coding"
"470","ENSDARG00000042138,selp,20,protein_coding"
"471","ENSDARG00000040178,havcr1,21,protein_coding"
"472","ENSDARG00000026417,ccr12b.2,24,protein_coding"
"473","ENSDARG00000039162,rhebl1,6,protein_coding"
"474","ENSDARG00000038066,kpna2,3,protein_coding"
"475","ENSDARG00000042934,ctgfa,20,protein_coding"
"476","ENSDARG00000045658,msrb3,4,protein_coding"
"477","ENSDARG00000042667,klf2a,22,protein_coding"
"478","ENSDARG00000013031,mta2,7,protein_coding"
"479","ENSDARG00000054823,id3,17,protein_coding"
"480","ENSDARG00000045803,mfge8b,25,protein_coding"
"481","ENSDARG00000051763,sntb2,25,protein_coding"
"482","ENSDARG00000053166,chic1,14,protein_coding"
"483","ENSDARG00000012942,itgb5,9,protein_coding"
"484","ENSDARG00000054058,h1fx,6,protein_coding"
"485","ENSDARG00000045298,wipf2a,11,protein_coding"
"486","ENSDARG00000041959,cxcr4b,9,protein_coding"
"487","ENSDARG00000040380,arhgef1a,19,protein_coding"
"488","ENSDARG00000055429,kat6b,13,protein_coding"
"489","ENSDARG00000053483,zgc:113054,6,protein_coding"
"490","ENSDARG00000069324,vps53,15,protein_coding"
"491","ENSDARG00000053684,aldob,14,protein_coding"
